device_id    expected_vendor                               inferred_vendor          device_oui                                                         is_correct
-----------  --------------------------------------------  -----------------------  ---------------------------------------------------------------  ------------
s2f7a763479  google                                        google                   HTC Corporation                                                             1
s069dfcecf1  sonos                                         sonos                    Sonos, Inc.                                                                 1
s5391507682  wlan                                          foscam                   B-Link Electronic Limited                                                   0
scbc253fdbc  rachio                                        google                   AzureWave Technology Inc.                                                   0
s0e81252086  hp                                            sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
s53728fe968  koogeek                                       koogeek                  China Dragon Technology Limited                                             1
s1de01f07f6  amazon                                        amazon                   Amazon Technologies Inc.                                                    1
sf7c4b01cd5  ikea                                          ikea                     Murata Manufacturing Co., Ltd.                                              1
s4432710bee  canon                                         canon                    CANON INC.                                                                  1
sa25da41547  honeywell                                     honeywell                ADEMCO                                                                      1
sfa4aa6444d  honeywell                                     honeywell                ADEMCO                                                                      1
sf08fefdfab  amazon                                        amazon                   Amazon Technologies Inc.                                                    1
s4533e46bc4  linksys                                       linksys                  Cisco-Linksys, LLC                                                          1
s9497f5c781  psaudio                                                                ConversDigital Co., Ltd.                                                    0
s8222358195  apple                                         apple                    Apple, Inc.                                                                 1
s43c8fa9e5d  samsung                                       ikea                     Murata Manufacturing Co., Ltd.                                              0
s5ef40025a6  generic                                       sonoff                   Espressif Inc.                                                              0
s68bf542cad  nintendo                                      nintendo                 Nintendo Co.,Ltd                                                            1
s77ce6cf8d4  apple                                         apple                    Apple, Inc.                                                                 1
sc4a556b8eb  apple                                         apple                    Apple, Inc.                                                                 1
s1f0128448c  canon                                         canon                    CANON INC.                                                                  1
s2530528c10  apple                                         apple                    Apple, Inc.                                                                 1
sf038515d07  apple                                         apple                    Apple, Inc.                                                                 1
s7d34dd469b  tp-link                                       tp-link                  TP-LINK TECHNOLOGIES CO.,LTD.                                               1
sd778c6d5d2  tp-link                                       tp-link                  TP-LINK TECHNOLOGIES CO.,LTD.                                               1
s1c55ffe33b  hp                                            hp                       Hewlett Packard                                                             1
s8196a8b98b  tp-link                                                                                                                                            0
se6d2014889  apple                                         apple                    Apple, Inc.                                                                 1
s8522858e43  brother                                       sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
sb9f1cb04ce  uniden                                        ring                     Universal Global Scientific Industrial Co., Ltd.                            0
s15432fae1f  apple                                         apple                    Apple, Inc.                                                                 1
s8b2dcfcd98  apple                                         apple                    Apple, Inc.                                                                 1
s183e7b59cf  microsoft                                     microsoft                Microsoft Corporation                                                       1
s1eb211026c  brother                                       brother                  Brother industries, LTD.                                                    1
scb55ad0d5f  ubiquiti                                      ubiquiti                 Ubiquiti Networks Inc.                                                      1
s1506732471  apple                                         apple                    Apple, Inc.                                                                 1
s56f1f04661  synology                                      synology                 Synology Incorporated                                                       1
se5473a7286  sonos                                         sonos                    Sonos, Inc.                                                                 1
s6ebee86087  apple                                         apple                    Apple, Inc.                                                                 1
s51c8c89123  apple                                         apple                    Apple, Inc.                                                                 1
s28ae5135c7  canon                                         canon                    CANON INC.                                                                  1
s79aacf4900  apple                                         apple                    Apple, Inc.                                                                 1
sa838f16a5c  apple                                         apple                    Apple, Inc.                                                                 1
s6175a9c757  apple                                         apple                    Apple, Inc.                                                                 1
sccbf85ae26  silicondust                                   silicondust              Silicondust Engineering Ltd                                                 1
s1fa9480519  silicondust                                   silicondust              Silicondust Engineering Ltd                                                 1
s4b5a8f290b  silicondust                                   silicondust              Silicondust Engineering Ltd                                                 1
saef47510dc  brother                                       brother                  Taiyo Yuden Co., Ltd.                                                       1
s2152eedafa  apple                                         apple                    Apple, Inc.                                                                 1
sa9b981b156  apple                                         apple                    Apple, Inc.                                                                 1
s4720aeb7c2  apple                                         apple                    Apple, Inc.                                                                 1
s87d6a352e0  apple                                         apple                    Apple, Inc.                                                                 1
s213318362a  tp-link                                       tp-link                  TP-LINK TECHNOLOGIES CO.,LTD.                                               1
s14e7529baf  netgear                                       netgear                  NETGEAR                                                                     1
s4137a564f2  apple                                         apple                    Apple, Inc.                                                                 1
sa0c21fb6fe  apple                                         apple                    Apple, Inc.                                                                 1
s1891cd0a7d  apple                                         apple                    Apple, Inc.                                                                 1
s3dcbf7b392  apple                                         apple                    Apple, Inc.                                                                 1
s00b2af4f3a  apple                                         apple                    Apple, Inc.                                                                 1
s50a90c6147  canon                                         canon                    CANON INC.                                                                  1
s908923ab50  apple                                         apple                    Apple, Inc.                                                                 1
seaf546cf71  apple                                         apple                    Apple, Inc.                                                                 1
sab423eff7a  western digital                               western digital          WESTERN DIGITAL                                                             1
sfabe1e9a5d  foscam                                        foscam                   VIA Networking Technologies, Inc.                                           1
s5e76c7c84a  apple                                         apple                    Apple, Inc.                                                                 1
sa0ccabf4f0  apple                                         apple                    Apple, Inc.                                                                 1
s41a4509a1b  tp-link                                       tp-link                  TP-LINK TECHNOLOGIES CO.,LTD.                                               1
se163be46cd  apple                                         apple                    Apple, Inc.                                                                 1
s3b504158a3  brother                                       sony                     Hon Hai Precision Ind. Co.,Ltd.                                             0
se7813311ef  apple                                         apple                    Apple, Inc.                                                                 1
s71e8e5a468  apple                                         apple                    Apple, Inc.                                                                 1
s906ffc53eb  apple                                         apple                    Apple, Inc.                                                                 1
s26742305af  apple                                         apple                    Apple, Inc.                                                                 1
sdd86fdfea0  sylvania                                      brother                  Silex Technology, Inc.                                                      0
s51b98eff76  apple                                         apple                    Apple, Inc.                                                                 1
