device_id    expected_vendor                               inferred_vendor            is_same
-----------  --------------------------------------------  -----------------------  ---------
s2f7a763479  google                                        google                           1
s069dfcecf1  sonos                                         sonos                            1
s5391507682  wlan                                          apple                            0
scbc253fdbc  rachio                                        google                           0
s0e81252086  hp                                            brother                          0
s53728fe968  koogeek                                       koogeek                          1
s1de01f07f6  amazon                                        amazon                           1
sf7c4b01cd5  ikea                                          ikea                             1
s4432710bee  canon                                         canon                            1
sa25da41547  honeywell                                     honeywell                        1
sfa4aa6444d  honeywell                                     honeywell                        1
sf08fefdfab  amazon                                        amazon                           1
s4533e46bc4  linksys                                       cisco-linksys                    0
s9497f5c781  psaudio                                       apple                            0
s8222358195  apple                                         apple                            1
s43c8fa9e5d  samsung                                       ikea                             0
s5ef40025a6  generic                                       espressif                        0
s68bf542cad  nintendo                                      nintendo                         1
s77ce6cf8d4  apple                                         apple                            1
sc4a556b8eb  apple                                         apple                            1
s1f0128448c  canon                                         canon                            1
s2530528c10  apple                                         apple                            1
sf038515d07  apple                                         apple                            1
s7d34dd469b  tp-link                                       tp-link                          1
sd778c6d5d2  tp-link                                       tp-link                          1
s1c55ffe33b  hp                                            hp                               1
s8196a8b98b  tp-link                                       apple                            0
se6d2014889  apple                                         apple                            1
s8522858e43  brother                                       brother                          1
sb9f1cb04ce  uniden                                        amazon                           0
s15432fae1f  apple                                         apple                            1
s8b2dcfcd98  apple                                         apple                            1
s183e7b59cf  microsoft                                     microsoft                        1
s1eb211026c  brother                                       brother                          1
scb55ad0d5f  ubiquiti                                      ubiquiti                         1
s1506732471  apple                                         apple                            1
s56f1f04661  synology                                      synology                         1
se5473a7286  sonos                                         sonos                            1
s6ebee86087  apple                                         apple                            1
s51c8c89123  apple                                         apple                            1
s28ae5135c7  canon                                         canon                            1
s79aacf4900  apple                                         apple                            1
sa838f16a5c  apple                                         apple                            1
s6175a9c757  apple                                         apple                            1
sccbf85ae26  silicondust                                   silicondust                      1
s1fa9480519  silicondust                                   silicondust                      1
s4b5a8f290b  silicondust                                   silicondust                      1
saef47510dc  brother                                       apple                            0
s2152eedafa  apple                                         apple                            1
sa9b981b156  apple                                         apple                            1
s4720aeb7c2  apple                                         apple                            1
s87d6a352e0  apple                                         apple                            1
s213318362a  tp-link                                       tp-link                          1
s14e7529baf  netgear                                       netgear                          1
s4137a564f2  apple                                         apple                            1
sa0c21fb6fe  apple                                         apple                            1
s1891cd0a7d  apple                                         apple                            1
s3dcbf7b392  apple                                         apple                            1
s00b2af4f3a  apple                                         apple                            1
s50a90c6147  canon                                         canon                            1
s908923ab50  apple                                         apple                            1
seaf546cf71  apple                                         apple                            1
sab423eff7a  western digital                               wd                               0
sfabe1e9a5d  foscam                                        foscam                           1
s5e76c7c84a  apple                                         apple                            1
sa0ccabf4f0  apple                                         apple                            1
s41a4509a1b  tp-link                                       tp-link                          1
se163be46cd  apple                                         apple                            1
s3b504158a3  brother                                       brother                          1
se7813311ef  apple                                         apple                            1
s71e8e5a468  apple                                         apple                            1
s906ffc53eb  apple                                         apple                            1
s26742305af  apple                                         apple                            1
sdd86fdfea0  sylvania                                      brother                          0
s51b98eff76  apple                                         apple                            1
s160deabaec  apple                                         apple                            1
s1a1d340414  brother                                       brother                          1
s834acc73a5  reolink                                       reolink                          1
s24277600a2  apple                                         apple                            1
s273f107e70  chamberlain                                   chamberlain                      1
scbd1755b83  dish                                          dish network                     0
s9e8a8267e6  apple                                         apple                            1
s5a198c4df0  apple                                         apple                            1
s15dc05e316  apple                                         apple                            1
s930cb26a9e  netgear                                       netgear                          1
sdf6978c82a  canon                                         canon                            1
s08f1601443  apple                                         apple                            1
s5c6cf65cb8  samsung                                       ikea                             0
s048199d43f  homemade                                      espressif                        0
sac0bce486e  netgear                                       netgear                          1
s4799b31c23  raspberrypi                                   raspberry pi                     1
s8bfa00daef  samsung                                       samsung                          1
s49cf627102  apple                                         apple                            1
s756ea94e9f  netatmo                                       netatmo                          1
sd15d25f710  brother                                       apple                            0
s62cfef0c8e  apple                                         apple                            1
s5716f51da3  apple                                         apple                            1
sd51926a787  canon                                         canon                            1
s64cd537e0d  apple                                         apple                            1
s7547b4c514  apple                                         apple                            1
se1350cb667  apple                                         apple                            1
s8ab61472fb  brother                                       brother                          1
s12d2045c94  google                                        google                           1
s1ffe658f46  apple                                         apple                            1
s590d10d8e8  apple                                         apple                            1
s7908a1cac5  apple                                         apple                            1
s54450b4076  apple                                         apple                            1
se941245348  apple                                         apple                            1
s1228fb0a8e  apple                                         apple                            1
s9429f5d47d  apple                                         apple                            1
s88d5771610  foscam                                        foscam                           1
s6d46feb693  netgear                                       netgear                          1
s109e07fa12  hp                                            hp                               1
s2d2bb4e8a5  apple                                         apple                            1
s06dffcd01d  ubiquiti                                      ubiquiti                         1
sfc6eba23f0  ubiquiti                                      ubiquiti                         1
sd48550efe3  dell                                          dell                             1
s3345c50a1f  ubiquiti                                      ubiquiti                         1
sad076632f0  brother                                       apple                            0
sf68b968e00  hp                                            hp                               1
s4f28dcdd5b  nanoleaf                                      wyze                             0
se23efe586d  apple                                         apple                            1
s711c6dabb0  epson                                         epson                            1
s57353bf5d8  apple                                         apple                            1
s5d66c0e6e2  epson                                         google                           0
se71f1f1800  apple                                         apple                            1
s6345ccd155  western digital                               wd                               0
s6564411ae7  epson                                         epson                            1
sfdcd9f94cf  brother                                       brother                          1
s64e1678416  medion                                        apple                            0
seb5f28bda4  avm                                           apple                            0
secc2c008b6  apple                                         apple                            1
s5acc0ef7b9  avm                                           avm                              1
s00e3457f76  unknown                                       hikvision                        0
sc0118c0ff7  unknown                                       toshiba                          0
s5c813a8c83  abode                                         wyze                             0
s5da1156bfc  neeo                                          apple                            0
sc477b82556  neeo                                          amazon                           0
sc1306ae29e  google                                        google                           1
s9cd06e5239  apple                                         apple                            1
sa0f01ecdac  apple                                         apple                            1
sa343dc6a41  synology                                      synology                         1
