device_id    expected_vendor                               inferred_vendor                         dns_number    is_correct
-----------  --------------------------------------------  ------------------------------------  ------------  ------------
s2f7a763479  google                                                                                         0             0
s069dfcecf1  sonos                                                                                          0             0
s5391507682  wlan                                                                                           0             0
scbc253fdbc  rachio                                                                                         0             0
s0e81252086  hp                                                                                             0             0
s53728fe968  koogeek                                                                                        0             0
s1de01f07f6  amazon                                                                                         0             0
sf7c4b01cd5  ikea                                                                                           0             0
s4432710bee  canon                                                                                          0             0
sa25da41547  honeywell                                                                                      0             0
sfa4aa6444d  honeywell                                                                                      0             0
sf08fefdfab  amazon                                                                                         0             0
s4533e46bc4  linksys                                                                                        0             0
s9497f5c781  psaudio                                                                                        0             0
s8222358195  apple                                                                                          0             0
s43c8fa9e5d  samsung                                                                                        0             0
s5ef40025a6  generic                                                                                        0             0
s68bf542cad  nintendo                                                                                       0             0
s77ce6cf8d4  apple                                                                                          0             0
sc4a556b8eb  apple                                                                                          0             0
s1f0128448c  canon                                                                                          0             0
s2530528c10  apple                                                                                          0             0
sf038515d07  apple                                                                                          0             0
s7d34dd469b  tp-link                                                                                        0             0
sd778c6d5d2  tp-link                                                                                        0             0
s1c55ffe33b  hp                                                                                             0             0
s8196a8b98b  tp-link                                                                                        0             0
se6d2014889  apple                                                                                          0             0
s8522858e43  brother                                                                                        0             0
sb9f1cb04ce  uniden                                                                                         0             0
s15432fae1f  apple                                                                                          0             0
s8b2dcfcd98  apple                                                                                          0             0
s183e7b59cf  microsoft                                                                                      0             0
s1eb211026c  brother                                                                                        0             0
scb55ad0d5f  ubiquiti                                                                                       0             0
s1506732471  apple                                                                                          0             0
s56f1f04661  synology                                                                                       0             0
se5473a7286  sonos                                                                                          0             0
s6ebee86087  apple                                                                                          0             0
s51c8c89123  apple                                                                                          0             0
s28ae5135c7  canon                                                                                          0             0
s79aacf4900  apple                                                                                          0             0
sa838f16a5c  apple                                                                                          0             0
s6175a9c757  apple                                                                                          0             0
sccbf85ae26  silicondust                                                                                    0             0
s1fa9480519  silicondust                                                                                    0             0
s4b5a8f290b  silicondust                                                                                    0             0
saef47510dc  brother                                                                                        0             0
s2152eedafa  apple                                                                                          0             0
sa9b981b156  apple                                                                                          0             0
s4720aeb7c2  apple                                                                                          0             0
s87d6a352e0  apple                                                                                          0             0
s213318362a  tp-link                                                                                        0             0
s14e7529baf  netgear                                                                                        0             0
s4137a564f2  apple                                                                                          0             0
sa0c21fb6fe  apple                                                                                          0             0
s1891cd0a7d  apple                                                                                          0             0
s3dcbf7b392  apple                                                                                          0             0
s00b2af4f3a  apple                                                                                          0             0
s50a90c6147  canon                                                                                          0             0
s908923ab50  apple                                                                                          0             0
seaf546cf71  apple                                                                                          0             0
sab423eff7a  western digital                                                                                0             0
sfabe1e9a5d  foscam                                                                                         0             0
s5e76c7c84a  apple                                                                                          0             0
sa0ccabf4f0  apple                                                                                          0             0
s41a4509a1b  tp-link                                                                                        0             0
se163be46cd  apple                                                                                          0             0
s3b504158a3  brother                                                                                        0             0
se7813311ef  apple                                                                                          0             0
s71e8e5a468  apple                                                                                          0             0
s906ffc53eb  apple                                                                                          0             0
s26742305af  apple                                                                                          0             0
sdd86fdfea0  sylvania                                                                                       0             0
s51b98eff76  apple                                                                                          0             0
s160deabaec  apple                                                                                          0             0
s1a1d340414  brother                                                                                        0             0
s834acc73a5  reolink                                                                                        0             0
s24277600a2  apple                                                                                          0             0
s273f107e70  chamberlain                                                                                    0             0
scbd1755b83  dish                                                                                           0             0
s9e8a8267e6  apple                                                                                          0             0
s5a198c4df0  apple                                                                                          0             0
s15dc05e316  apple                                                                                          0             0
s930cb26a9e  netgear                                       netgear                                          1             1
sdf6978c82a  canon                                                                                          0             0
s08f1601443  apple                                                                                          0             0
s5c6cf65cb8  samsung                                                                                        0             0
s048199d43f  homemade                                                                                       0             0
sac0bce486e  netgear                                                                                        0             0
s4799b31c23  raspberrypi                                   rasberry pi                                      1             0
s8bfa00daef  samsung                                                                                        0             0
s49cf627102  apple                                                                                          0             0
s756ea94e9f  netatmo                                                                                        0             0
sd15d25f710  brother                                                                                        0             0
s62cfef0c8e  apple                                                                                          0             0
s5716f51da3  apple                                                                                          0             0
